Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,160,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,772,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,1981,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,5606,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,13490,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,22222,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,25721,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,25824,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,2,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,95778,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,33,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,82,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,184,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,533,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,2038,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,4724,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,6259,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,5632,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,19486,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,78,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,313,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,819,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,2328,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,5065,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,7515,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,6820,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,5150,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,28090,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory failure,J96,0-24,143,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory failure,J96,25-34,549,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory failure,J96,35-44,1425,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory failure,J96,45-54,4268,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory failure,J96,55-64,10386,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory failure,J96,65-74,18308,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory failure,J96,75-84,21661,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory failure,J96,85+,20869,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory failure,J96,Not stated,2,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory failure,J96,All Ages,77611,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,9,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,32,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,83,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,216,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,496,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,927,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,1189,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory arrest,R09.2,85+,1540,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Respiratory arrest,R09.2,All Ages,4492,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,25,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,73,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,186,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,463,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,1110,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,1895,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,2282,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,2407,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,8441,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,24,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,147,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,609,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,2027,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,5749,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,10459,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,13074,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,15366,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,
11/08/2020,02/01/2020,11/07/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,47455,
